T_PLU_Trans_No	T_PLU_Trans_Size	T_PLU_Trans_PLUNo	T_PLU_Trans_UP	T_PLU_Trans_WT	T_PLU_Trans_QTY	T_PLU_Trans_TP	T_PLU_Trans_Date	T_PLU_Trans_Time	Traceability_Code	T_PLU_Trans_Reserve	Scale_No	Before_Price	After_Price	Item_Code	Item_Name
7694	106	70	12600.	490.	1	6174.	271014	1130	0000000000	0000000000	51	12600.	12600.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7695	106	88	6500.	480.	1	3120.	271014	1131	0000000000	0000000000	51	6500.	6500.	28000880000001	0804414C41530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7696	106	5	11900.	740.	1	8806.	271014	1149	0000000000	0000000000	51	11900.	11900.	28000050000001	0805504F53544100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7697	106	70	12600.	455.	1	5733.	271014	1151	0000000000	0000000000	51	12600.	12600.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7698	106	87	8800.	710.	1	6248.	271014	1203	0000000000	0000000000	51	8800.	8800.	28000870000001	070F50454348554741205155414C495459000000000000000000000000000000000000000000000000000000000000000000
7699	106	73	10900.	515.	1	5614.	271014	1204	0000000000	0000000000	51	10900.	10900.	28000730000001	0811434F5354494C4C4120444520434552444F00000000000000000000000000000000000000000000000000000000000000
7700	106	87	8800.	2130.	1	18744.	271014	1205	0000000000	0000000000	51	8800.	8800.	28000870000001	070F50454348554741205155414C495459000000000000000000000000000000000000000000000000000000000000000000
7701	106	77	6100.	160.	1	976.	271014	1207	0000000000	0000000000	51	6100.	6100.	28000770000001	0808455350494E415A4F00000000000000000000000000000000000000000000000000000000000000000000000000000000
7702	106	11	11200.	910.	1	10192.	271014	1210	0000000000	0000000000	51	11200.	11200.	28000110000001	0810434153434152412044452046524549520000000000000000000000000000000000000000000000000000000000000000
7703	106	28	8700.	410.	1	3567.	271014	1213	0000000000	0000000000	51	8700.	8700.	28000280000001	0806434F50455445000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7704	106	88	6500.	1045.	1	6793.	271014	1219	0000000000	0000000000	51	6500.	6500.	28000880000001	0804414C41530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7705	106	88	6500.	1045.	1	6793.	271014	1219	0000000000	0000000000	51	6500.	6500.	28000880000001	0804414C41530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7706	106	71	12200.	1055.	1	12871.	271014	1221	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7707	106	29	7700.	435.	1	3350.	271014	1229	0000000000	0000000000	51	7700.	7700.	28000290000001	080648494741444F000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7708	106	5	11900.	420.	1	4998.	271014	1233	0000000000	0000000000	51	11900.	11900.	28000050000001	0805504F53544100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7709	106	86	5400.	1355.	1	7317.	271014	1312	0000000000	0000000000	51	5400.	5400.	28000860000001	070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000
7710	106	87	8800.	1395.	1	12276.	271014	1629	0000000000	0000000000	51	8800.	8800.	28000870000001	070F50454348554741205155414C495459000000000000000000000000000000000000000000000000000000000000000000
7711	106	88	6500.	3020.	1	19630.	271014	1805	0000000000	0000000000	51	6500.	6500.	28000880000001	0804414C41530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7712	106	74	12300.	765.	1	9410.	271014	1923	0000000000	0000000000	51	12300.	12300.	28000740000001	080C544F43494E4F204341524E45000000000000000000000000000000000000000000000000000000000000000000000000
7713	106	73	10900.	480.	1	5232.	271014	1926	0000000000	0000000000	51	10900.	10900.	28000730000001	0811434F5354494C4C4120444520434552444F00000000000000000000000000000000000000000000000000000000000000
7714	106	70	12600.	595.	1	7497.	271014	1929	0000000000	0000000000	51	12600.	12600.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7715	106	70	12600.	435.	1	5481.	271014	1930	0000000000	0000000000	51	12600.	12600.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7716	106	4	13900.	420.	1	5838.	271014	1931	0000000000	0000000000	51	13900.	13900.	28000040000001	08055441424C4100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7717	106	47	8900.	325.	1	2893.	271014	1934	0000000000	0000000000	51	8900.	8900.	28000470000001	081443484F52495A4F204D4958544F2043415345524F00000000000000000000000000000000000000000000000000000000
7718	106	77	6100.	535.	1	3264.	271014	1935	0000000000	0000000000	51	6100.	6100.	28000770000001	0808455350494E415A4F00000000000000000000000000000000000000000000000000000000000000000000000000000000
7719	106	88	6500.	425.	1	2763.	271014	1937	0000000000	0000000000	51	6500.	6500.	28000880000001	0804414C41530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7720	106	16	12500.	485.	1	6063.	271014	1937	0000000000	0000000000	51	12500.	12500.	28000160000001	0810485545564F20444520534F4C4F4D4F200000000000000000000000000000000000000000000000000000000000000000
7721	106	16	12500.	915.	1	11438.	271014	1941	0000000000	0000000000	51	12500.	12500.	28000160000001	0810485545564F20444520534F4C4F4D4F200000000000000000000000000000000000000000000000000000000000000000
7722	106	70	12600.	605.	1	7623.	271014	1942	0000000000	0000000000	51	12600.	12600.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7723	106	70	12600.	1965.	1	24759.	271014	1946	0000000000	0000000000	51	12600.	12600.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7724	106	70	12600.	1100.	1	13860.	271014	1949	0000000000	0000000000	51	12600.	12600.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7725	106	88	6500.	1035.	1	6728.	271014	1951	0000000000	0000000000	51	6500.	6500.	28000880000001	0804414C41530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7726	106	73	10900.	1845.	1	20111.	271014	1954	0000000000	0000000000	51	10900.	10900.	28000730000001	0811434F5354494C4C4120444520434552444F00000000000000000000000000000000000000000000000000000000000000
