T_PLU_Trans_No	T_PLU_Trans_Size	T_PLU_Trans_PLUNo	T_PLU_Trans_UP	T_PLU_Trans_WT	T_PLU_Trans_QTY	T_PLU_Trans_TP	T_PLU_Trans_Date	T_PLU_Trans_Time	Traceability_Code	T_PLU_Trans_Reserve	Scale_No	Before_Price	After_Price	Item_Code	Item_Name
9512	106	74	10700.	1475.	1	15783.	090814	1859	0000000000	0000000000	52	10700.	10700.	28000740000001	080C544F43494E4F204341524E45000000000000000000000000000000000000000000000000000000000000000000000000
9513	106	73	12700.	970.	1	12319.	090814	1900	0000000000	0000000000	52	12700.	12700.	28000730000001	0811434F5354494C4C4120444520434552444F00000000000000000000000000000000000000000000000000000000000000
9514	106	2	18500.	1515.	1	28028.	090814	1905	0000000000	0000000000	52	18500.	18500.	28000020000001	080E534F4C4F4D4F205245444F4E444F00000000000000000000000000000000000000000000000000000000000000000000
9515	106	7	13900.	970.	1	13483.	090814	1912	0000000000	0000000000	52	13900.	13900.	28000070000001	080F485545564F20444520414C44414E41000000000000000000000000000000000000000000000000000000000000000000
9516	106	4	13900.	1035.	1	14387.	090814	1914	0000000000	0000000000	52	13900.	13900.	28000040000001	08055441424C4100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9517	106	87	8800.	870.	1	7656.	090814	1915	0000000000	0000000000	52	8800.	8800.	28000870000001	070F50454348554741205155414C495459000000000000000000000000000000000000000000000000000000000000000000
9518	106	26	12500.	595.	1	7438.	090814	1932	0000000000	0000000000	52	12500.	12500.	28000260000001	081050554E544120455350414C44494C4C410000000000000000000000000000000000000000000000000000000000000000
9519	106	71	12200.	505.	1	6161.	090814	1935	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9520	106	8	13900.	985.	1	13692.	090814	1944	0000000000	0000000000	52	13900.	13900.	28000080000001	0811534F4C4F4D4F2045585452414E4A45524F00000000000000000000000000000000000000000000000000000000000000
9521	106	8	13900.	500.	1	6950.	090814	1945	0000000000	0000000000	52	13900.	13900.	28000080000001	0811534F4C4F4D4F2045585452414E4A45524F00000000000000000000000000000000000000000000000000000000000000
9522	106	71	12200.	545.	1	6649.	090814	1947	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9523	106	71	12200.	545.	1	6649.	090814	1948	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9524	106	28	8700.	650.	1	5655.	090814	1949	0000000000	0000000000	52	8700.	8700.	28000280000001	0806434F50455445000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9525	106	86	5400.	1210.	1	6534.	090814	1959	0000000000	0000000000	52	5400.	5400.	28000860000001	070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000
9526	106	15	10100.	500.	1	5050.	090814	2000	0000000000	0000000000	52	10100.	10100.	28000150000001	08084D4F5252494C4C4F00000000000000000000000000000000000000000000000000000000000000000000000000000000
9527	106	71	12200.	500.	1	6100.	090814	2002	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9528	106	71	12200.	2920.	1	35624.	090814	2003	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9529	106	70	14700.	515.	1	7571.	090814	2010	0000000000	0000000000	52	14700.	14700.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9530	106	15	10100.	2045.	1	20655.	090814	2018	0000000000	0000000000	52	10100.	10100.	28000150000001	08084D4F5252494C4C4F00000000000000000000000000000000000000000000000000000000000000000000000000000000
