idVenta;fecha;pesoVenta;plu_idPlu;puntoVenta_idPuntoVenta
7802;2014-10-31 00:00:00;1025;86;51
7803;2014-10-31 00:00:00;635;88;51
7804;2014-10-31 00:00:00;1715;87;51
7805;2014-10-31 00:00:00;2990;8;51
7806;2014-10-31 00:00:00;490;74;51
7807;2014-10-31 00:00:00;525;86;51
7808;2014-10-31 00:00:00;745;74;51
7809;2014-10-31 00:00:00;750;71;51
7810;2014-10-31 00:00:00;975;4;51
7811;2014-10-31 00:00:00;920;87;51
7812;2014-10-31 00:00:00;475;78;51
7813;2014-10-31 00:00:00;885;86;51
7814;2014-10-31 00:00:00;475;70;51
7815;2014-10-31 00:00:00;485;88;51
7816;2014-10-31 00:00:00;405;48;51
7817;2014-10-31 00:00:00;1045;11;51
7818;2014-10-31 00:00:00;1000;71;51
7819;2014-10-31 00:00:00;530;74;51
7820;2014-10-31 00:00:00;530;3;51
7821;2014-10-31 00:00:00;560;29;51
7822;2014-10-31 00:00:00;445;71;51
7823;2014-10-31 00:00:00;210;2;51
7824;2014-10-31 00:00:00;2045;86;51
7825;2014-10-31 00:00:00;480;88;51
7826;2014-10-31 00:00:00;320;2;51
7827;2014-10-31 00:00:00;590;89;51
7828;2014-10-31 00:00:00;1025;71;51
7829;2014-10-31 00:00:00;525;74;51
7830;2014-10-31 00:00:00;1000;74;51
7831;2014-10-31 00:00:00;920;74;51
7832;2014-10-31 00:00:00;1515;71;51
7833;2014-10-31 00:00:00;515;29;51
7834;2014-10-31 00:00:00;400;48;51
7835;2014-10-31 00:00:00;1680;87;51
7836;2014-10-31 00:00:00;535;71;51
7837;2014-10-31 00:00:00;3205;86;51
7838;2014-10-31 00:00:00;785;87;51
7839;2014-10-31 00:00:00;1675;86;51
7840;2014-10-31 00:00:00;1115;86;51
7841;2014-11-01 00:00:00;480;86;51
7842;2014-11-01 00:00:00;935;89;51
7843;2014-11-01 00:00:00;1190;89;51
7844;2014-11-01 00:00:00;2695;86;51
7845;2014-11-01 00:00:00;935;86;51
7846;2014-11-01 00:00:00;760;87;51
7847;2014-11-01 00:00:00;695;87;51
7848;2014-11-01 00:00:00;1040;87;51
7849;2014-11-01 00:00:00;1045;86;51
7850;2014-11-01 00:00:00;5165;87;51
7851;2014-11-01 00:00:00;995;87;51
7852;2014-11-01 00:00:00;740;74;51
7853;2014-11-01 00:00:00;885;87;51
7854;2014-11-01 00:00:00;1055;86;51
7855;2014-11-01 00:00:00;1060;14;51
7856;2014-11-01 00:00:00;1120;27;51
7857;2014-11-01 00:00:00;545;8;51
7858;2014-11-01 00:00:00;545;86;51
7859;2014-11-01 00:00:00;2545;87;51
7860;2014-11-01 00:00:00;2630;72;51
7861;2014-11-01 00:00:00;1440;7;51
