idPlu;codigoBarras;nombreHex;nombreTextual
86;28000860000001;070E5045524E494C205155414C49545900000000000000000000000000000000000000000000000000000000000000000000;PERNIL QUALITY
87;28000870000001;070F50454348554741205155414C495459000000000000000000000000000000000000000000000000000000000000000000;PECHUGA QUALITY
88;28000880000001;0804414C41530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;ALAS
89;28000890000001;070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000;ALAS QUALITY
201;27655000000001;0812534F4C4F4D49544F2042414E44454A415320000000000000000000000000000000000000000000000000000000000000;SOLOMITO BANDEJAS
204;27655030000001;030F5441424C412042414E44454A415320000000000000000000000000000000000000000000000000000000000000000000;TABLA BANDEJAS
205;27655040000001;030F504F5354412042414E44454A415320000000000000000000000000000000000000000000000000000000000000000000;POSTA BANDEJAS
206;27655050000001;03124D5543484143484F2042414E44454A415320000000000000000000000000000000000000000000000000000000000000;MUCHACHO BANDEJAS
207;27655060000001;0516485545564F20414C44414E412042414E44454A4153200000000000000000000000000000000000000000000000000000;HUEVO ALDANA BANDEJAS
208;27655070000001;041C534F4C4F4D4F2045585452414E4A45524F202042414E44454A4153200000000000000000000000000000000000000000;SOLOMO EXTRANJERO  BANDEJAS
215;27655140000001;05194D494C414E455341204445205245532042414E44454A4153200000000000000000000000000000000000000000000000;MILANESA DE RES BANDEJAS
222;27655210000001;0518544F43494E4F204148554D41444F2042414E44454A415320000000000000000000000000000000000000000000000000;TOCINO AHUMADO BANDEJAS
223;27655220000001;0519434F5354494C4C41204148554D41444F2042414E44454A41530000000000000000000000000000000000000000000000;COSTILLA AHUMADO BANDEJAS
224;27655230000001;070F4341D14F4E202042414E44454A4153000000000000000000000000000000000000000000000000000000000000000000;CAÑON  BANDEJAS
225;27655240000001;0518504945524E4120444520434552444F2042414E44454A4153000000000000000000000000000000000000000000000000;PIERNA DE CERDO BANDEJAS
226;27655250000001;0518434F5354494C4C4120434552444F2042414E44454A415320000000000000000000000000000000000000000000000000;COSTILLA CERDO BANDEJAS
227;27655260000001;0416544F43494E4F204341524E452042414E44454A4153200000000000000000000000000000000000000000000000000000;TOCINO CARNE BANDEJAS
231;27655300000001;05164D4F4C494441204C494748542042414E44454A4153200000000000000000000000000000000000000000000000000000;MOLIDA LIGHT BANDEJAS
232;27655310000001;0517424545462050415252494C4C412042414E44454A41532000000000000000000000000000000000000000000000000000;BEEF PARRILLA BANDEJAS
234;27655330000001;05184445534D4543484152204C4947482042414E44454A415320000000000000000000000000000000000000000000000000;DESMECHAR LIGH BANDEJAS
235;27655340000001;05184341524E452053414E434F43484F2042414E44454A415320000000000000000000000000000000000000000000000000;CARNE SANCOCHO BANDEJAS
239;27655380000001;051550494341444120434552444F2042414E44454A4153000000000000000000000000000000000000000000000000000000;PICADA CERDO BANDEJAS
245;27655440000001;04114348555A4F53202042414E44454A41532000000000000000000000000000000000000000000000000000000000000000;CHUZOS  BANDEJAS
999998;FF000000000000;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;
